,article,bias
279,"next Image 1 of 2prev Image 2 of 2A former Chicago-area executive is blowing the whistle in the latest case to showcase what is derisively known as the ""Illinois way"" -- politicians' practice of doing business by dishing out favors to friends who contribute generously to their campaigns.This time a top-ranking Democrat has been implicated. The case involves Illinois' most powerful Democratic leader -- state House Speaker Michael Madigan -- and the former head of the Chicago area's commuter rail service Metra. In a rare move earlier this week Metra's ex-CEO Alex Clifford came forward publicly to reveal specific details about how he says he was forced out of his lucrative job after refusing to cave to political pressure.Clifford who was hired from California in 2001 testified during a recent Regional Transportation Authority board meeting in Chicago. For two hours he spoke openly about what he calls serious ""ethical and moral character flaws"" from people who practice the ""Illinois way"" of doing business including Madigan.Clifford claims Madigan specifically wanted a pay raise for a Metra employee Patrick Ward who has been a generous contributor to Madigan's campaign according to state records. Clifford testified: ""What is it that he (Ward) was doing so great and so different than other employees at Metra who have gone three years without a pay raise that would make this person special?""Clifford ultimately rejected the request. In a statement Madigan acknowledged sending a ""recommendation to Metra senior staff that Mr. Ward be considered for a salary adjustment. ... When notified Mr. Clifford had concerns about the appearance of the recommendation coming from my office I withdrew the request.""During a trip to the state Capitol in Springfield Clifford says he was asked by Democratic state lawmaker Rep. Luis Arroyo to consider hiring somebody the Latino caucus sends him. Clifford says he told Arroyo ""we have a process. Times are different today at Metra than they were under my predecessor. Every applicant every employee will come in through the front door.""Clifford went on to point fingers at those who intentionally ""railroaded"" him into a poor performance evaluation which led to the end of his contract -- specifically Metra Chairman Brad O'Hallaron and another Metra board member. When Clifford approached O'Hallaron about his upcoming contract he claims O'Hallaron responded ""but we're just dating."" Then said ""I need to get a meeting with Mr. Madigan and I need to find out what kind of damage you've caused to our potential for future funding.""When it was his turn to testify O'Hallaron denied Clifford's accusations. O'Hallaron told the RTA board: ""If as alleged by Clifford I was seeking to protect Speaker Madigan why would I take his allegations immediately over to the OEIG (Office of Executive Inspector General) if I thought there was pressure from Speaker Madigan? It just doesn't make sense.""Clifford did not get the necessary votes to renew his contract earlier this year but he left Metra with a $700000 severance deal that some have characterized as ""hush money"" to keep Clifford quiet after threatening a lawsuit. Clifford denies that claim and says the money was ""100 percent about my ability to get a job and how I've been damaged.""Metra announced on Friday that it plans to hire a well-known former federal prosecutor in Chicago to perform an independent investigation into Clifford's allegations and make recommendations concerning Metra's hiring and contract policies. Metra's board of directors must approve the hiring at a special meeting on Monday.The man who oversees Illinois' government watchdog group says even though there was no illegal activity involved with the Metra scandal the case has lawmakers squirming a bit more than usual.""This is a very big deal this is the first time in anyone's memory that Speaker Madigan has been implicated so directly in the workings of a public agency"" Better Government Association President Andy Shaw said. ""Madigan and hundreds if not thousands (of politicians) do this every day. We just don't hear about it very often because it happens behind closed doors.""Shaw admits any hope for changing this type of behavior has to come from voters. ""This is only going to change in one of two ways. People coming out to vote and deciding who represents them. And secondly when a groundswell of public outrage forces public officials to impose higher ethics standards upon themselves.""Illinois' history with questionable political ethics is rich. The state practically became the poster child for corruption during the criminal trial of former Illinois Gov. Rod Blagojevich. Blagojevich attempted to sell off Barack Obama's coveted U.S. Senate seat in return for hefty campaign donations referencing it in the now infamous phone call saying ""I've got this thing and it's f------ golden and I'm not giving it up for f------ nothing.""Blagojevich is currently serving out his 14-year sentence in federal prison in Colorado.",1
280,Obama’s Debt Default Is on His Shoulders While We Shoulder His Impeachable OffensesApparently the president thinks he can furlough reality when talking about the debt limit. To suggest that raising the debt limit doesn’t incur more debt is laughably absurd. The very reason why you raise the debt limit is so that you can incur more debt. Otherwise what’s the point?It’s also shameful to see him scaremongering the markets with his talk of default. There is no way we can default if we follow the Constitution. The Fourteenth Amendment Section 4 requires that we service our debt first. We currently collect more than enough tax revenue to service our debt if we do that first. However we don’t have enough money to continue to finance our ever-growing federal government (with our $17 trillion dollar national debt that has increased over 50% since Obama took office). That’s why President Obama wants to increase the debt limit. He doesn’t want to make the tough decisions to rein in government spending. So he’s scaremongering the markets about default just as he tries to scaremonger our senior citizens about their Social Security which by the way is funded by the Social Security Trust Fund and is solvent through 2038.It’s time for the president to be honest with the American people for a change. Defaulting on our national debt is an impeachable offense and any attempt by President Obama to unilaterally raise the debt limit without Congress is also an impeachable offense. A default would also be a shameful lack of leadership just as mindlessly increasing our debt without trying to rein in spending is a betrayal of our children and grandchildren who will be stuck with the bill.This article was cross-posted at Sarah Palin’s Facebook page.,1
281,"Uh no. Neither budget thanks.Uh no. Neither budget thanks.So if you are the party committees in charge of electing Democrats in 2014 and your base is up in arms over President Barack Obama's unforced error on his budget's Social Security cuts what do you do?If you're smart like the Democratic Senatorial Campaign Committee you say nothing (at least so far). Why rub salt in the wounds of your strongest supporters? But if you're the guys at the Democratic Congressional Campaign Committee you ask them to cheer louder. In an email blast:What does backfire look like? Instead of compromising to get solutions on the budget NRCC Chairman Greg Walden outrageously attacked parts of President Obama’s budget proposal that were included at the demand of Republicans.""Ah yes DCCC your supporters are outraged that Republicans won't applaud the cutting of Social Security benefits—cuts by the way that weren't even included in Paul Ryan's draconian cut-everything-else budget. I'm sure that brought in the dough from outraged Democratic donors desperate for ""compromise"" with recalcitrant Republicans!But the DCCC isn't the only one stepping off the cliff with the president. The Democratic Governor's Association decided to play lemming as well.President Obama just released a budget for next year that will reduce the deficit while investing in the things we need to keep our economy competitive for the long-term – like pre-K for four-year olds. On the other side Paul Ryan and House Republicans have a budget that spends your hard-earned money on tax breaks for the wealthiest ends Medicare and Social Security as we know them and slashes other critical programs. Stand with us in supporting President Obama’s budget and say no to Paul Ryan’s disaster of a plan.There's no doubt that Ryan's budget is a piece of shit but if you're going to be outraged at cuts in Ryan's budget (which again doesn't include the president's chained CPI proposal) then why would you want to stand with Obama's budget?You wouldn't. A Social Security cut is a Social Security cut no matter who proposes it. Heck it's worse when proposed by Democrats. Republicans are assholes. We expect them to slash the safety net. But Democrats? If we stand for anything at all we stand for taking care of each other.Sign this petition telling the DCCC and the DGA that that that's what we should be standing for. Not Obama's cut-Social Security budget.",1
282,President Obama who faithfully shops at independent bookstores when given the chance has angered the American Booksellers Assn. with a planned appearance Tuesday at an Amazon warehouse.The appearance is “greatly misguided” ABA Chief Executive Oren Teicher wrote in an open letter to the president. That’s because the online retailer has caused a net loss of jobs the organization argues while President Obama’s goal is to promote his plan for a stronger economy.Obama’s tour is called “A Better Bargain for the Middle Class.”Amazon has just announced that it will add 7000 jobs -- 2000 of those seasonal -- at its regional shipping and customer service centers. The company says its workers make 30% more than traditional retail staffers.AdvertisementAmazon news releases often make comparative references without sharing specific data. But it’s possible to get a sense of what it will pay its Chattanooga Tenn. warehouse workers: about $11 per hour according to the jobs website glassdoor.com.That’s a bit more than the $8.25 an hour McDonald’s pays its workers -- a wage that even McDonald’s acknowledges needs to be supplemented with a second job to make ends meet and those “ends” include rent of just $600 and no budget for heat -- but it’s hard to see how an annual salary of less than $23000 a year is a better bargain for the middle class.While it’s hard to get people to agree on exactly what a middle-class wage is in 2011 CNN Money reported that the first decade of the 21st century was the first time in American history that middle-class wages declined: Adjusted for inflation median household income dropped from $53164 to $49445.A 2012 Pew Research study showed that on average Americans think it takes $70000 for a family of four to be middle class.AdvertisementPublishers Weekly the publishing industry trade magazine quotes Obama deputy press secretary Amy Brundage on the appearance: “The Amazon facility in Chattanooga is a perfect example of the company that is investing in American workers and creating good high-wage jobs” she said Friday. “What the president wants to do is to highlight Amazon and the Chattanooga facility as an example of a company that is spurring job growth and keeping our country competitive.”ABA’s Teicher protests that writing “At a time when Main Street retailers including indie bookstores show promise of recovering from the recession we are disheartened to see Amazon touted as a ‘jobs creator’ and its warehouse facility used as a backdrop for an important jobs speech when frankly the exact opposite is true.”Citing the Institute for Local Self-Reliance Teicher writes “Every $10 million in spending that shifts from Main Street retailers to Amazon results in a net loss of 33 retail jobs. That would mean for 2012 alone — using Amazon’s own numbers about its increase in sales — Amazon cost the U.S. economy more than 42000 jobs just last year!”Can President Obama be a friend to independent booksellers and Amazon at the same time? He’s been photographed at independent bookstores Prairie Lights in Iowa City and Bunch of Grapes in Martha’s Vineyard. The next time he shows up to shop for books they may have some less-than-enthusiastic words for him.AdvertisementALSO:Remembering Mick FarrenNeil Gaiman wants you to help him create a video gameReza Aslan’s Jesus book a No. 1 bestseller thanks to Fox NewsAdvertisementCarolyn Kellogg: Join me on Twitter Facebook and Google+,1
283,Story highlights President Obama to continue to push plan for economy ahead of congressional recess Senate Minority Leader Mitch McConnell takes fire from left and right in re-election campaign House Republicans to push for more oversight at IRS take another shot at Obamacare(CNN) —From rising rhetoric between the president and top Republicans over the economy to a marquee Senate campaign showdown politics are heating up in the summer sun and could boil over in the week ahead.1. Economic tug of warWith budget showdowns looming President Barack Obama continues to try to take his case directly to the American people.The president travels to an Amazon distribution center in Chattanooga Tennessee on Tuesday and will again speak on the economy which remains the top issue on the minds of Americans. The White House touts the address as the first in a series of policy speeches on Obama’s “better bargain for the middle class.”John King: Obama thinks he’s getting the upper hand“Tuesday’s speech will focus on manufacturing and high-wage jobs for durable economic growth and the president will discuss proposals he has laid out to jump-start private-sector job growth and make America more competitive and will also talk about new ideas to create American jobs” White House press secretary Jay Carney told reporters.The Chattanooga address follows similar speeches last week where the president’s tone was sharper and more partisan than many had expected.Obama: I won’t ‘twiddle my thumbs’ waiting for GOP“If the Republicans don’t agree with me I want them to lay out their ideas. If they have got a better plan to create jobs rebuild our infrastructure to make sure that they have great ports all along the Gulf come on let me know what your ideas are” the president said Thursday in Jacksonville Florida.Congressional Republican leaders are pushing right back at the president – with deadlines to continue funding the federal government and raising the nation’s debt ceiling as well the date for implementing a crucial part of Obamacare on the horizon.Obama touts economic agenda; GOP says he’s ‘all sizzle no steak’“Look this president is a terrific campaigner. We all recognize that. He has got a way with words too. But at some point campaign season has to end and the `working with others’ season has to begin” Senate GOP Leader Mitch McConnell said on the Senate floor Thursday morning.“His speech turned out to be all sizzle and no steak that’s assuming there’s any sizzle left after you’ve reheated this thing so many times” House Speaker John Boehner chimed in later.With one week left before the congressional summer recess both Democrats and Republicans will ramp up the rhetoric over the strong possibility of a government shutdown in the autumn. Both sides are pointing fingers in a heated blame game and the fight will continue into the August recess as the action moves to lawmakers’ home states and districts.2. Marquee Senate showdown beginsWhat could ultimately be the most expensive and bitter Senate battle in the 2014 midterm elections formally begins Tuesday when Kentucky Secretary of State Alison Lundergan Grimes kicks off her Democratic challenge to McConnell who’s running for a sixth term in the Senate.In a preview of how nasty things could get Grimes blames McConnell for greatly contributing to the gridlock in Washington saying in a video previewing her rollout that the Senate Republican leader is “the biggest part of the problem. He’s wasted decades blocking legislation that would have helped Kentucky and our country. And over the last few years he’s done it for the worst possible reason – out of spite.”Web wars start in crucial 2014 Senate raceEven before announcing her candidacy this month Grimes had already come under attack both by an Internet ad put out by the McConnell campaign that poked fun at the amount of time she was taking to make a decision and by a pro-McConnell independent group that went up with an ad that called her “Obama’s cheerleader in Kentucky.”McConnell is known for taking the fight to his political opponents and he quickly welcomed Grimes to the race by linking her to the president who is unpopular in Kentucky a red state in presidential elections.“Accepting the invitation from countless Washington liberals to become President Obama’s Kentucky candidate was a courageous decision by Alison Lundergan Grimes and I look forward to a respectful exchange of ideas” McConnell said in a statement this month.In her video Grimes fired back saying “I don’t scare easy.”Next weekend both Grimes and McConnell will attend the annual Fancy Farm picnic in the rural western tip of Kentucky. The picnic is famous as a traditional political gathering that attracts statewide candidates.Also expected to attend that gathering is Matt Bevins a Kentucky businessman who a few days ago formally launched a conservative primary challenge to McConnell adding more political fire to an already combustible race.Conservative challenger takes on McConnell3. House GOP to make another statementPegged to the scandal involving Internal Revenue Service targeting some political groups for special scrutiny the GOP-controlled House of Representatives will vote on a series of bills in the week ahead to curb the power of the IRS and other federal agencies.House Majority Leader Eric Cantor packaged 10 measures for floor votes and dubbed the final week before a monthlong summer recess as “Stop Government Abuse” week.Republicans to make big push on oversight legislationIn addition to the IRS another chief target of the Republican legislative push is Obamacare which the House GOP has continually tried to roll back.One bill sponsored by Rep. Tom Price R-Georgia would prohibit the IRS from implementing any provisions of the health care law. Since the IRS is the agency that would enforce the mandate that individuals must carry health insurance this legislation essentially hamstrings the program. This bill is the latest in a string of more than three dozen times House Republicans have tried to repeal entirely or change parts of the health care law.House Democratic Leader Nancy Pelosi criticized the effort saying “It is only fitting that Republicans would waste the last week at work this summer voting for the 40th time to repeal the Affordable Care Act and continue their record of no jobs bills no budget agreement and no solutions for the middle class.”Many Republicans expressed outrage after IRS employee Lois Lerner was placed on administrative leave but is still being paid which the current law allows. A GOP bill sponsored by Rep. Mike Kelly R-Pennsylvania would change that law and allow federal agencies to suspend employees who are under investigation without pay. Other Republican bills would limit bonuses for federal workers and impose a ban on any new IRS conferences until new changes are in place.One topic the House won’t address before its five-week break is immigration reform. The Senate passed a bipartisan comprehensive immigration bill last month but Boehner said instead the House will take a “step-by-step” approach but has not given any details yet on when it will vote or what specific measures will be taken up on the floor.4. Scandals from coast …It’s the tabloid political blockbuster of the summer: Amid falling poll numbers and a rising “sexting” count New York mayoral candidate Anthony Weiner had a horrible week.Opponent: Weiner is immature disconnected from the truthBut the former seven-term Democratic representative who resigned from Congress two years ago following a similar scandal has so far resisted calls to end his bid for a second chance in politics.All eyes will be on Weiner in the days ahead. Will Weiner’s poll numbers continue to plunge? Will more women who had inappropriate online relationships with Weiner speak out? Will Weiner’s wife Huma Abedin a longtime top adviser to Hillary Clinton continue to support her husband’s bid for political redemption?Weiner acknowledged Sunday that campaign manager Danny Kedem has left his team.A lot of questions remain and as of now Weiner’s still giving answers.Weiner says he has no response to Sidney Leathers“But there’s going to reach a point fairly soon that I’m going to say I think I’ve said enough about it and I’m going to keep just talking about other things” Weiner told reporters Friday.Stay tuned.5. … to coastOn the left coast it’s a similar story as another former Democratic congressman is facing calls to quit. San Diego Mayor Bob Filner is dealing with an explosion of sexual harassment allegations.Filner said Friday he will take a two-week hiatus for “intensive counseling.” His move came one day after fellow Democrats called for his resignation.Amid calls to resign embattled Filner to enter clinicSaying he had apologized to his staff the citizens and the “women I have offended” the mayor said “It is simply not acceptable to explain away my conduct as the product of the standards of a different generation.”On Thursday the San Diego County Democratic Party voted 34-6 to ask the mayor to step down. Seven women have said they were targets of the mayor’s advances.A group has begun a campaign aimed at getting more than the 100000 signatures needed to try and recall Filner who was a five-term congressman before being elected mayor last year.CNN’s Tricia Escobedo Craig Broffman and Deirdre Walsh contributed to this report,1
284,"APThe agency spent %2450M on at least 220 conferences between 2010 and 2012One speaker was paid %2417%2C000 to discuss %27leadership through art%27IRS employees told investigators Washington officials told them to scrutinize conservative groupsWASHINGTON (AP) — A government watchdog has found that the Internal Revenue Service spent about $50 million to hold at least 220 conferences for employees between 2010 and 2012 a House committee said Sunday.The chairman of that committee Rep. Darrell Issa R-Calif. also released excerpts of congressional investigators' interviews with employees of the IRS office in Cincinnati. Issa said the interviews indicated the employees were directed by Washington to subject tea party and other conservative groups seeking tax-exempt status to tough scrutiny.The excerpts provided no direct evidence that Washington had ordered that screening. The top Democrat on that panel Rep. Elijah Cummings of Maryland said none of the employees interviewed have so far identified any IRS officials in Washington as ordering that targeting.The conference spending included $4 million for an August 2010 gathering in Anaheim Calif. for which the agency did not negotiate lower room rates even though that is standard government practice according to a statement by the House Oversight and Government Reform Committee.Instead some of the 2600 attendees received benefits including baseball tickets and stays in presidential suites that normally cost $1500 to $3500 per night. In addition 15 outside speakers were paid a total of $135000 in fees with one paid $17000 to talk about ""leadership through art"" the House committee said.The report by the Treasury Department's inspector general set to be released Tuesday comes as the IRS already is facing bipartisan criticism after agency officials disclosed they had targeted tea party and other conservative groups.Agency officials and the Obama administration have said that treatment was inappropriate but the political tempest is showing no signs of ebbing and has put the White House on the defensive.Three congressional committees are investigating a Justice Department criminal investigation is under way President Barack Obama has replaced the IRS' acting commissioner and two other top officials have stepped aside.The Treasury Department released a statement Sunday saying the administration ""has already taken aggressive and dramatic action to reduce conference spending.""IRS spokeswoman Michelle Eldridge said Sunday that spending on large agency conferences with 50 or more participants fell from $37.6 million in the 2010 budget year to $4.9 million in 2012. The government's fiscal year begins Oct. 1 the previous calendar year.On Friday the new acting commissioner Danny Werfel released a statement on the forthcoming report criticizing the Anaheim meeting.""This conference is an unfortunate vestige from a prior era"" Werfel said. ""While there were legitimate reasons for holding the meeting many of the expenses associated with it were inappropriate and should not have occurred.""Issa's committee also released excerpts from interviews congressional investigators conducted last week with two IRS employees from the agency's Cincinnati office. The excerpts omitted the names of those interviewed and provided no specifics about individuals in Washington who may have been involved.One of the IRS employees said in an excerpt that they were told by a supervisor that the need to collect the reports came from Washington and said that in early 2010 the Cincinnati office had sent copies of seven of the cases to Washington.The other said ""all my direction"" came from an official the transcript said was in Washington.One of the workers also expressed skepticism that the Cincinnati office originated the screening without direction from Washington according to the excerpts.Appearing Sunday on CNN's ""State of the Union"" Issa said this conflicted with White House comments that have referred to misconduct by IRS workers in Cincinnati. Without naming White House spokesman Jay Carney Issa said the administration's ""paid liar their spokesperson"" is ""still making up things about what happens in calling this local rogue.""He added ""This is a problem that was coordinated in all likelihood right out of Washington headquarters and we're getting to proving it.""In briefings with reporters Carney has not referred to the Cincinnati IRS office as ""rogue.""""He's good at throwing out outlandish charges but it's unclear what he's saying he lied about"" White House spokesman Eric Schultz said of Issa's remark.Cummings said Issa's comments conflicted with a Treasury inspector general's report that provided no evidence that the Cincinnati office received orders on targeting from anyone else.""Rather than lobbing unsubstantiated conclusions on national television for political reasons we need to work in a bipartisan way to follow the facts where they lead"" Cummings said.The interviews with IRS employees were conducted by Republican and Democratic aides on Issa's committee and also involved aides from both parties from the House Ways and Means Committee.One of the employees was a lower-level worker while the other was higher-ranked said one congressional aide but the committee did not release their names or titles.The IRS Cincinnati office handles applications from around the country for tax-exempt status. A Treasury inspector general's report in May said employees there began searching for applications from tea party and conservative groups in their hunt for organizations that primarily do work related to election campaigns.That May report blamed ""ineffective management"" for letting that screening occur for more than 18 months between 2010 and 2012. But that report — and three hearings by congressional committees — have produced no specific evidence that the Cincinnati workers were ordered by anyone in Washington to target conservatives.The latest report on IRS conferences will be the subject of a hearing Thursday by the House Oversight and Government Reform Committee.Werfel is scheduled to make his first congressional appearance as acting commissioner Monday when he appears before a subcommittee of the House Appropriations Committee.According to congressional aides briefed by the inspector general's office the IRS did not formally seek competitive bids for the city where the agency's 2010 conference was held for the event planner who assisted the agency or for the speakers.The aides who spoke on condition of anonymity to describe a confidential congressional briefing said other benefits given to some attendees at the Anaheim IRS conference included vouchers for free drinks and some tickets to attend Angels baseball games.Two videos produced by the IRS were shown at the Anaheim conference. In one agency employees did a parody of ""Star Trek"" while dressed like the TV show's characters; the second shows more than a dozen IRS workers dancing on a stage. The two videos cost the agency more than $50000 to make aides said.The lecturer who spoke about leadership through art produced six paintings of subjects that included Abraham Lincoln Michael Jordan the rock singer Bono and the Statue of Liberty the aides said.",1
285,More voters have a positive opinion of former President George W. Bush than President Barack Obama according to the latest Fox News Poll. But former President Bill Clinton is liked best of the three.The poll finds 50 percent of voters have a favorable opinion of Bush while 47 percent have an unfavorable view.By contrast Obama has a net negative rating: 46 percent have a favorable opinion of him while 52 percent have an unfavorable opinion.Views of Clinton are far more positive: 70 percent favorable vs. 26 percent unfavorable. That gives him a huge net positive rating (+ 44 points).The two former presidents and President Obama attended the memorial service for South African leader Nelson Mandela on December 11 and Bush joined Obama on Air Force One for the flight to Johannesburg.Obama’s favorable rating has been more positive than negative for almost his entire presidency. However in the last few months during the botched health care roll-out opinion of Obama has reversed.At the end of Bush’s second term he had a 34 percent favorable rating (December 2008) but that’s been increasing the last few years during his retirement.There’s a large partisan gap in views of Obama and Bush; for example there’s an 80-point difference in Obama’s favorable rating among Democrats and Republicans. And there’s a 60-point gap in Bush’s positive rating from the two parties.Eighty-five percent of Democrats have a positive view of Obama while just five percent of Republicans feel that way.Likewise 85 percent of Republicans have a favorable opinion of Bush while just 25 percent of Democrats agree.Fully 93 percent of Republicans rate Obama negatively. In contrast Bush’s unfavorable drops to 74 percent among Democrats.Presidential Job Performance ComparisonsPresident Obama ends his fifth year in office under water on his job rating by 12 percentage points: 41 percent of voters approve of the job he’s doing while 53 percent disapprove.President Bush ended his fifth year in office in negative territory too by nine points: 42 percent approved of his job performance and 51 percent disapproved in the Fox News poll conducted mid-December 2005.Obama’s average approval rating for 2013 is 44 percent just slightly below the 2005 average approval of 46 percent for Bush.The Fox News poll is based on landline and cell phone interviews with 1027 randomly chosen registered voters nationwide and was conducted under the joint direction of Anderson Robbins Research (D) and Shaw & Company Research (R) from December 14-16 2013. The full poll has a margin of sampling error of plus or minus three percentage points.,1
286,"A trucker protest aimed at clogging the Capital Beltway around Washington to protest government ""corruption"" was not shaping up to be quite the commuter nightmare organizers had threatened.As of Friday morning dozens of tractor-trailers were said to be on the road as part of the protest convoy.Virginia state police say they stopped four tractor-trailer drivers on the Beltway pulling them over after they began driving side-by side across all four northbound lanes of the Beltway in Fairfax County.Their actions slowed traffic to about 15 mph. Officers warned the drivers not to impede traffic and did not write any tickets.Police say a convoy of about 30 trucks began traveling north on Interstate 95 from Doswell Va. on Friday morning. The truckers are circling the Beltway.However the presence was not quite the thousands of truckers that organizers had predicted. On Friday morning just a handful of people had showed up at a key staging area.According to MyFoxDC.com organizers say more could show up through the weekend.The rally ""Truckers Ride for the Constitution"" had called for 10000 truck drivers to show up Friday morning and circle I-495 for the next three days according to a Facebook page for the event.""Truckers will lead the path to saving our country if every American rides with them!"" the Facebook page says adding ""The American people are sick and tired of the corruption that is destroying America!""On its website the group lists several demands including that President Obama resign immediately that the debt ceiling not be raised and that National Security Agency surveillance of communications be ceased. The group is also complaining about low wages and rising fuel costs.The event's organizers however have stressed that they intend to keep the protest peaceful and adhere to all traffic laws.""We're not coming in to cause any violence or disrupt anything"" protester J.B. Schaffner told Greta Van Sustern Thursday night on ""Greta.""""We're just coming in to make our voice heard.""The Associated Press contributed to this report.",1
287,An investigation by Cincinnati Fox 19 reporter Ben Swann finds that Obama Administration claims that the Internal Revenue Service (IRS) targeting of conservative groups was the work of two “rogue” low-level employees in Cincinnati Ohio strain credulity and are “falling apart.”Swann reports that so far six IRS agents working out of the Cincinnati office–which is the central hub for processing tax-exempt applications–have been identified as sending scrutinizing letters to conservative groups. These include:Mitchel Steele-IRS AgentCarly Young-IRS AgentJoseph Herr-IRS AgentStephen Seok-IRS SupervisorLiz Hofacre-IRS AgentMs. Richards (full name unknown)-IRS AgentThese agents report to different managers with a territory manager overseeing those managers.Swann explains how the process works:When an application for tax exempt status comes into the IRS agents have 270 days to work through that application. If the application is not processed within those 270 days it automatically triggers flags in the system. When that happens individual agents are required to input a status update on that individual case once a month every month until the case is resolved. Keep in mind at least 300 groups were targeted out of Cincinnati alone. Those applications spent anywhere from 18 months to nearly 3 years in the system and some still don’t have their non-profit status. 300 groups multiplied by at least 18 months for each group means thousands of red flags would have been generated in the system. So who in the chain of command would have received all these flags? The answer according to the IRS directory one woman in Cincinnati Cindy Thomas the Program Manager of the Tax Exempt Division. Because all six of our IRS workers have different individual and territory managers Cindy Thomas is one manager they all have common. It turns out Cindy Thomas’ name is one we have heard before. The independent journalism group ProPublica says in November of 2012 they had requested information on conservatives groups that had received non-profit status.Cindy Thomas says Swann is the highest-ranking employee in the Tax Exempt and Government Entities Department in Cincinnati.Democrats unleashed a barrage of pointed questions to IRS officials on Wednesday in the House Oversight and Government Reform Committee hearing. Rep. Stephen Lynch (D-MA) said if witnesses today are not more forthcoming and continue to stonewall the committee “it will lead to a special prosecutor” in order “to get to the bottom of this.” He warned that “there will be hell to pay if that’s the route we go down.”“It is possible that criminal activity may have occurred” said Treasury Inspector General for Tax Administration J. Russell George.,1
288,"Paul DavidsonUSA TODAYLarry Summers%2C Obama%27s former economic adviser%2C seen as gaining support recentlyJanet Yellen helped craft Fed response to financial crisisWhite House has said only that a decision will be made in the fallPresident Obama will pick the first woman to head the Federal Reserve — one of the world's most powerful jobs -- over a veteran Washington insider economists surveyed by USA TODAY predict.Thirty-two economists said they expect Fed Vice Chairwoman Janet Yellen to succeed Chairman Ben Bernanke next year. Four predicted Obama will nominate Larry Summers his former economic adviser and President Clinton's Treasury secretary.The survey was done last week amid a flurry of media reports suggesting that the field was narrowing to a choice between Yellen and Summers or that Summers was the front-runner.The White House has said only that a decision will be made in the fall. In an interview with The New York Times published over the weekend Obama said he has narrowed his choice to ""some extraordinary candidates."" Treasury Secretary Jack Lew declined to express a preference in an interview on ABC's This Week on Sunday.Yellen is ""extremely well-qualified and she's been there through the (financial) crisis"" says Diane Swonk chief economist of Mesirow Financial. ""We need continuity.""Vincent Reinhart chief U.S. economist of Morgan Stanley and former head of monetary affairs at the Fed thinks Obama will pick Summers.""The president really has tended to reward loyalty"" Reinhart says ""and Summers has that history with the president that Yellen doesn't.""The presumptive horse race between Yellen and Summers to be the nation's top economist has transfixed Washington in a uneventful political summer even though the White House says a nominee won't be announced until fall.After reports last week that Summers may be emerging as the favorite Senate Democrats began a petition in support of Yellen and House Democratic leader Nancy Pelosi endorsed her in a Bloomberg Television interview. ""It would be great to have a woman"" Pelosi said.Bernanke hasn't said whether he plans to step down when his second four-year term ends in January but his departure is widely expected.The Fed chairman is the most influential voice on a policymaking committee that can speed up or slow down U.S. economic growth by lowering or raising interest rates among other moves that ripple across the global economy.Yellen 66 chaired the Council of Economic Advisors under Clinton and headed the San Francisco Federal Reserve Bank for six years before becoming vice chairwoman of the Fed's board of governors in 2010.Obama likely would relish the opportunity to nominate the first female Fed chief says Nariman Behravesh chief economist of IHS.Like Bernanke Yellen has used a collegial style to push through bold programs by building consensus on the Fed's politically diverse Federal Open Market Committee.""She convinces people through the strength of her argument but she's not argumentative"" says Swonk with Mesirow Financial.Summers 58 is widely regarded as brilliant but sometimes arrogant. ""Summers doesn't play nicely with others"" Swonk says. ""Congress doesn't like him."" As Treasury secretary she says he took part in the 1990s banking industry deregulation that led to the 2008 financial crisis.Reinhart says criticism of Summers as domineering is overstated noting he held senior positions in two administrations that required him to work with colleagues.As Obama's chief economic adviser in his first term Summers was a key architect of the policies that helped pull the nation from recession and he is viewed as having a steady hand in a crisis.Most telling Reinhart says is that the White House apparently is floating Summers' name. ""But we haven't heard anything that can really be construed as a trial balloon about Yellen"" he says.",1
